TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 118.0, 'x': 79.0, 'tmp': 0.0}
{'z': 118.0, 'x': 79.0, 'tmp': 0.0}
{'z': 118.0, 'x': 78.0, 'tmp': 0.0}
{'z': 117.0, 'x': 78.0, 'tmp': 0.0}
{'z': 117.0, 'x': 78.0, 'tmp': 1.0}
{'z': 117.0, 'x': 79.0, 'tmp': 1.0}
{'z': 117.0, 'x': 79.0, 'tmp': 0.0}
{'z': 117.0, 'x': 78.0, 'tmp': 0.0}
{'z': 116.0, 'x': 78.0, 'tmp': 0.0}
{'z': 116.0, 'x': 78.0, 'tmp': 0.0}
{'z': 116.0, 'x': 77.0, 'tmp': 0.0}
{'z': 115.0, 'x': 77.0, 'tmp': 0.0}
{'z': 115.0, 'x': 77.0, 'tmp': 1.0}
{'z': 115.0, 'x': 78.0, 'tmp': 1.0}
{'z': 115.0, 'x': 78.0, 'tmp': 1.0}
{'z': 115.0, 'x': 79.0, 'tmp': 1.0}
{'z': 115.0, 'x': 79.0, 'tmp': 0.0}
{'z': 115.0, 'x': 78.0, 'tmp': 0.0}
{'z': 114.0, 'x': 78.0, 'tmp': 0.0}
{'z': 114.0, 'x': 78.0, 'tmp': 1.0}
{'z': 114.0, 'x': 79.0, 'tmp': 1.0}
{'z': 114.0, 'x': 79.0, 'tmp': 1.0}
{'z': 114.0, 'x': 80.0, 'tmp': 1.0}
{'z': 114.0, 'x': 80.0, 'tmp': 0.0}
{'z': 114.0, 'x': 79.0, 'tmp': 0.0}
{'z': 113.0, 'x': 79.0, 'tmp': 0.0}
{'z': 113.0, 'x': 79.0, 'tmp': 1.0}
{'z': 113.0, 'x': 80.0, 'tmp': 1.0}
{'z': 113.0, 'x': 80.0, 'tmp': 0.0}
{'z': 113.0, 'x': 79.0, 'tmp': 0.0}
{'z': 112.0, 'x': 79.0, 'tmp': 0.0}
{'z': 112.0, 'x': 79.0, 'tmp': 0.0}
{'z': 112.0, 'x': 78.0, 'tmp': 0.0}
{'z': 111.0, 'x': 78.0, 'tmp': 0.0}
{'z': 111.0, 'x': 78.0, 'tmp': 0.0}
{'z': 111.0, 'x': 77.0, 'tmp': 0.0}
{'z': 110.0, 'x': 77.0, 'tmp': 0.0}
{'z': 110.0, 'x': 77.0, 'tmp': 0.0}
{'z': 110.0, 'x': 76.0, 'tmp': 0.0}
{'z': 109.0, 'x': 76.0, 'tmp': 0.0}
{'z': 109.0, 'x': 76.0, 'tmp': 1.0}
{'z': 109.0, 'x': 77.0, 'tmp': 1.0}
{'z': 109.0, 'x': 77.0, 'tmp': 1.0}
{'z': 109.0, 'x': 78.0, 'tmp': 1.0}
{'z': 109.0, 'x': 78.0, 'tmp': 1.0}
{'z': 109.0, 'x': 79.0, 'tmp': 1.0}
{'z': 109.0, 'x': 79.0, 'tmp': 0.0}
{'z': 109.0, 'x': 78.0, 'tmp': 0.0}
{'z': 108.0, 'x': 78.0, 'tmp': 0.0}
{'z': 108.0, 'x': 78.0, 'tmp': 1.0}
{'z': 108.0, 'x': 79.0, 'tmp': 1.0}
{'z': 108.0, 'x': 79.0, 'tmp': 1.0}
{'z': 108.0, 'x': 80.0, 'tmp': 1.0}
{'z': 108.0, 'x': 80.0, 'tmp': 0.0}
{'z': 108.0, 'x': 79.0, 'tmp': 0.0}
{'z': 107.0, 'x': 79.0, 'tmp': 0.0}
{'z': 107.0, 'x': 79.0, 'tmp': 0.0}
{'z': 107.0, 'x': 78.0, 'tmp': 0.0}
{'z': 106.0, 'x': 78.0, 'tmp': 0.0}
{'z': 106.0, 'x': 78.0, 'tmp': 0.0}
{'z': 106.0, 'x': 77.0, 'tmp': 0.0}
{'z': 105.0, 'x': 77.0, 'tmp': 0.0}
{'z': 105.0, 'x': 77.0, 'tmp': 0.0}
{'z': 105.0, 'x': 76.0, 'tmp': 0.0}
{'z': 104.0, 'x': 76.0, 'tmp': 0.0}
{'z': 104.0, 'x': 76.0, 'tmp': 1.0}
{'z': 104.0, 'x': 77.0, 'tmp': 1.0}
{'z': 104.0, 'x': 77.0, 'tmp': 0.0}
{'z': 104.0, 'x': 76.0, 'tmp': 0.0}
{'z': 103.0, 'x': 76.0, 'tmp': 0.0}
{'z': 103.0, 'x': 76.0, 'tmp': 0.0}
{'z': 103.0, 'x': 75.0, 'tmp': 0.0}
{'z': 102.0, 'x': 75.0, 'tmp': 0.0}
{'z': 102.0, 'x': 75.0, 'tmp': 1.0}
{'z': 102.0, 'x': 76.0, 'tmp': 1.0}
{'z': 102.0, 'x': 76.0, 'tmp': 1.0}
{'z': 102.0, 'x': 77.0, 'tmp': 1.0}
{'z': 102.0, 'x': 77.0, 'tmp': 0.0}
{'z': 102.0, 'x': 76.0, 'tmp': 0.0}
{'z': 101.0, 'x': 76.0, 'tmp': 0.0}
{'z': 101.0, 'x': 76.0, 'tmp': 1.0}
{'z': 101.0, 'x': 77.0, 'tmp': 1.0}
{'z': 101.0, 'x': 77.0, 'tmp': 0.0}
{'z': 101.0, 'x': 76.0, 'tmp': 0.0}
{'z': 100.0, 'x': 76.0, 'tmp': 0.0}


TRACE #2
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 185.0, 'x': 67.0, 'tmp': 1.0}
{'z': 185.0, 'x': 68.0, 'tmp': 1.0}
{'z': 185.0, 'x': 68.0, 'tmp': 1.0}
{'z': 185.0, 'x': 69.0, 'tmp': 1.0}
{'z': 185.0, 'x': 69.0, 'tmp': 0.0}
{'z': 185.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 68.0, 'tmp': 0.0}
{'z': 184.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 67.0, 'tmp': 0.0}
{'z': 183.0, 'x': 66.0, 'tmp': 0.0}
