TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 255.0, 'E1': 0.0, 'E0': 255.0}
{'S': 999.0, 'E1': 0.0, 'E0': 255.0}
{'S': 999.0, 'E1': 744.0, 'E0': 255.0}
{'S': 999.0, 'E1': 744.0, 'E0': 999.0}
{'S': 550.0, 'E1': 744.0, 'E0': 999.0}
{'S': 550.0, 'E1': 294.0, 'E0': 999.0}
{'S': 550.0, 'E1': 294.0, 'E0': 550.0}
{'S': 908.0, 'E1': 294.0, 'E0': 550.0}
{'S': 908.0, 'E1': 651.0, 'E0': 550.0}
{'S': 908.0, 'E1': 651.0, 'E0': 908.0}
{'S': 498.0, 'E1': 651.0, 'E0': 908.0}
{'S': 498.0, 'E1': 240.0, 'E0': 908.0}
{'S': 498.0, 'E1': 240.0, 'E0': 498.0}
{'S': 324.0, 'E1': 240.0, 'E0': 498.0}
{'S': 324.0, 'E1': 65.0, 'E0': 498.0}
{'S': 324.0, 'E1': 65.0, 'E0': 324.0}
{'S': 512.0, 'E1': 65.0, 'E0': 324.0}
{'S': 512.0, 'E1': 252.0, 'E0': 324.0}
{'S': 512.0, 'E1': 252.0, 'E0': 512.0}
{'S': 473.0, 'E1': 252.0, 'E0': 512.0}
{'S': 473.0, 'E1': 0.0, 'E0': 512.0}
{'S': 473.0, 'E1': 0.0, 'E0': 473.0}
{'S': 989.0, 'E1': 0.0, 'E0': 473.0}
{'S': 989.0, 'E1': 0.0, 'E0': 473.0}
{'S': 989.0, 'E1': 0.0, 'E0': 989.0}
{'S': 373.0, 'E1': 0.0, 'E0': 989.0}
{'S': 373.0, 'E1': -616.0, 'E0': 989.0}
{'S': 373.0, 'E1': -616.0, 'E0': 373.0}
{'S': 674.0, 'E1': -616.0, 'E0': 373.0}
{'S': 674.0, 'E1': -314.0, 'E0': 373.0}
{'S': 674.0, 'E1': -314.0, 'E0': 674.0}
{'S': 57.0, 'E1': -314.0, 'E0': 674.0}
{'S': 57.0, 'E1': -930.0, 'E0': 674.0}
{'S': 57.0, 'E1': -930.0, 'E0': 57.0}
{'S': 908.0, 'E1': -930.0, 'E0': 57.0}
{'S': 908.0, 'E1': 0.0, 'E0': 57.0}
{'S': 908.0, 'E1': 0.0, 'E0': 908.0}
{'S': 119.0, 'E1': 0.0, 'E0': 908.0}
{'S': 119.0, 'E1': -789.0, 'E0': 908.0}
{'S': 119.0, 'E1': -789.0, 'E0': 119.0}
{'S': 327.0, 'E1': -789.0, 'E0': 119.0}
{'S': 327.0, 'E1': -580.0, 'E0': 119.0}
{'S': 327.0, 'E1': -580.0, 'E0': 327.0}
{'S': 175.0, 'E1': -580.0, 'E0': 327.0}
{'S': 175.0, 'E1': -731.0, 'E0': 327.0}
{'S': 175.0, 'E1': -731.0, 'E0': 175.0}
{'S': 74.0, 'E1': -731.0, 'E0': 175.0}
{'S': 74.0, 'E1': -831.0, 'E0': 175.0}
{'S': 74.0, 'E1': -831.0, 'E0': 74.0}
